"Section","Subsection","Front","Back","Tag"
"02 Linear Algebra","b Linear Independence","Orthonormal Basis Expansion","For orthonormal basis [$]\mathbf{a}_1, \ldots, \mathbf{a}_n[/$] and vector [$]\mathbf{x}[/$]:  [$]\mathbf{x} = (\mathbf{a}_1'\mathbf{x})\mathbf{a}_1 + \cdots + (\mathbf{a}_n'\mathbf{x})\mathbf{a}_n[/$]",""
"02 Linear Algebra","c Matrices","Symmetric Matrix","A square matrix where [$]a_{ij} = a_{ji}[/$]",""
"02 Linear Algebra","c Matrices","Diagonal Matrix","A square matrix where [$]a_{ij} = 0[/$] for all [$]i \neq j[/$]",""
"02 Linear Algebra","c Matrices","Matrix Transpose","Denoted as [$]\mathbf{A}'[/$] or [$]\mathbf{A}^{\top}[/$], we have  [$][\mathbf{A}]_{ij} = [\mathbf{A}']_{ji}[/$]",""
"02 Linear Algebra","c Matrices","Matrix Transpose Properties:  [$](\beta \mathbf{A})' = ?[/$]  [$](\mathbf{A} + \mathbf{B})' = ?[/$]  [$](\mathbf{AB})' = ?[/$]  [$]\begin{bmatrix} \mathbf{A} & \mathbf{B}\\ \mathbf{C} & \mathbf{D}\\ \end{bmatrix}' = ?[/$]","[$](\beta \mathbf{A})' = \beta \mathbf{A}'[/$]  [$](\mathbf{A} + \mathbf{B})' = \mathbf{A}' + \mathbf{B}'[/$]  [$](\mathbf{AB})' = \mathbf{B}'\mathbf{A}'[/$]  [$]\begin{bmatrix} \mathbf{A} & \mathbf{B}\\ \mathbf{C} & \mathbf{D}\\ \end{bmatrix}' = \begin{bmatrix} \mathbf{A}' & \mathbf{C}'\\ \mathbf{B}' & \mathbf{D}'\\ \end{bmatrix}[/$]",""
"02 Linear Algebra","c Matrices","Column and row interpretation of [$]\mathbf{AB}[/$]","[$]\mathbf{AB}[/$] is a resuffling of the columns of [$]\mathbf{A}[/$] and a reshuffling of the rows of [$]\mathbf{B}[/$]",""
"02 Linear Algebra","c Matrices","Lower Triangular Matrix","A square matrix [$]\mathbf{A}[/$] where  [$]a_{ij} = 0[/$] for all [$] i < j[/$]",""
"02 Linear Algebra","c Matrices","Upper Triangular Matrix","A square matrix [$]\mathbf{A}[/$] where  [$]a_{ij} = 0[/$] for all [$] i > j[/$]",""
"02 Linear Algebra","c Matrices","Unit Upper Triangular Matrix","A square matrix [$]\mathbf{A}[/$] where  [$]a_{ij} = 0[/$] for all [$] i > j[/$] and [$]a_{ii} = 1[/$]",""
"02 Linear Algebra","c Matrices","Unit Lower Triangular Matrix","A square matrix [$]\mathbf{A}[/$] where  [$]a_{ij} = 0[/$] for all [$] i < j[/$] and [$]a_{ii} = 1[/$]",""
"02 Linear Algebra","c Matrices","Scalar-Matrix Multiplication","[$]\beta \mathbf{A} = \begin{bmatrix} \beta a_{11} & \cdots & \beta a_{1n}\\ \vdots & \ddots & \vdots\\ \beta a_{m1} & \cdots & \beta a_{mn}\\ \end{bmatrix}[/$]",""
"02 Linear Algebra","c Matrices","Matrix Addition and Subtraction","[$] \mathbf{A} + \mathbf{B} = \begin{bmatrix} a_{11} + b_{11} & \cdots & a_{1n} + b_{1n}\\ \vdots & \ddots & \vdots\\  a_{m1} + b_{m1} & \cdots & a_{mn} + b_{mn}\\ \end{bmatrix}[/$]  [$] \mathbf{A} - \mathbf{B} = \begin{bmatrix} a_{11} - b_{11} & \cdots & a_{1n} - b_{1n}\\ \vdots & \ddots & \vdots\\  a_{m1} - b_{m1} & \cdots & a_{mn} - b_{mn}\\ \end{bmatrix}[/$]",""
"02 Linear Algebra","c Matrices","Matrix Norm Properties","Positive Definiteness: [$]||\mathbf{A}|| = \mathbf{0}[/$] if and only if [$]\mathbf{A} = \mathbf{0}[/$]  Homogeneity: [$]||\alpha \mathbf{A}|| = |\alpha| \cdot ||\mathbf{A}||[/$] for any scalar [$]\alpha[/$]  Triangle Inequality: [$]||\mathbf{A} + \mathbf{B}|| \leq ||\mathbf{A}|| + ||\mathbf{B}||[/$]  Cauchy Schwartz: [$]||\mathbf{AB}|| \leq ||\mathbf{A}|| \cdot ||\mathbf{B}||[/$]",""
"02 Linear Algebra","c Matrices","Gram Matrix","For any matrix [$]\mathbf{A}[/$], its associated Gram Matrix is  [$]\mathbf{A'A}[/$]",""
"02 Linear Algebra","c Matrices","If the columns of [$]\mathbf{A}[/$] are linearly independent,  what does that say about [$]\mathbf{Ab} = \mathbf{0}[/$]?","It implies that [$]\mathbf{b} = \mathbf{0}[/$]",""
"02 Linear Algebra","d Subspaces","Vector Space","A set of vectors is a vector space if:  1) Closed under addition 2) Closed under scalar multiplication 3) The existence of a zero vector",""
"02 Linear Algebra","d Subspaces","Order of a vector space","The size of a vector in a vector space  (similar to dimension)",""
"02 Linear Algebra","d Subspaces","Span","The span of a set of vectors [$]\mathbf{x}_1, \ldots, \mathbf{x}_k[/$] is the set of all linear combinations of [$]\mathbf{x}_i[/$]'s",""
"02 Linear Algebra","d Subspaces","Dimension of a subspace, dim[$](\mathcal{S})[/$]","The number of vectors in the basis of [$]\mathcal{S}[/$].",""
"02 Linear Algebra","d Subspaces","Column Space","Span of the columns of [$]\mathbf{A}[/$]",""
"02 Linear Algebra","d Subspaces","Row Space","Span of the rows of [$]\mathbf{A}[/$].   [$]\mathcal{R}(\mathbf{A}) = \mathcal{C}(\mathbf{A}')[/$]  [$] = \{y \in \mathbb{R}^n : \mathbf{y} = \mathbf{A}'\mathbf{x}[/$] for some [$]\mathbf{x} \in \mathbb{R}^m\}[/$]",""
"02 Linear Algebra","d Subspaces","Null Space","Set of vectors such that [$]\mathbf{Ax = 0}[/$]  [$]\mathcal{N}(\mathbf{A}) = \{\mathbf{x} \in \mathbb{R}^n : \mathbf{Ax = 0}[/$]",""
"02 Linear Algebra","d Subspaces","Left Null Space","[$]\mathcal{N}(\mathbf{A}') = \{\mathbf{x}\in \mathbb{R}^m : \mathbf{A}'\mathbf{x} = \mathbf{0}\}[/$]",""
